,event,timeslot,room,notes
1,Welcome & Networking ,Noon – 12:30 ,Humanities Building GH.01 , 
2,Orientation ,12:30 - 12:50 ,Humanities Building GH.01 , 
3,Icebreaker & Networking,13:00 - 14:00,Humanities Building GH.01 , 
4,Break, 14:00 - 14:30 ,Humanities Building GH.01 ,
5,Intro to Funding for Early Career Researchers, 14:30 - 15:00 ,Humanities Building GH.01 ,
6,Panel: Navigating the Funding Landscape,15:00 – 16:00 ,Humanities Building GH.01 , 
7,Q&A with Panellists ,16:00 – 16:30 ,Humanities Building GH.01 , " " 
8,Closing, 16:30 - 17:00 ,Humanities Building GH.01 , 
9,Social ,18:30 - late,The Famous Royal Navy Volunteer (BS1 4EF),To pay deposit 
